"ContractingOfficeID","pEffComp","pNoEffComp","pProducts","pServices","pRnD","pPriceFixed","pPriceTime","pPriceCost","pPriceOther","pFeeNone","pFeeRedermination","pFeeEPA","pFeeFixed","pFeeAward","pFeeIncentive","pFeeEffort","pIDV","pAward","pVehFSS","pVehSAC","pVehBPA","pVehPur","pVehDef","pVehMAC","pVehOIDV","pNoComp1Source","pCompNo Comp. (Unlabeled)","pComp1Offer","pComp2Offers","pComp3or4Offers","pComp5pOffers","pNoCompOther","pNoCompFollowOn","wavOffers","avOffers","lwavOffers","lavOffers","TotalValue","TotalCount","avSize","lavSize","MaxAnnualValue","ExcludeLow","ExcludeHigh"
"0600",0.10482146967467,0.89517853032533,0.955872100400878,0.0441278995991216,0,0.996035825637443,0.00390113439433905,2.7070666291286e-05,3.59693019262192e-05,0.0864646755840516,0.00178850984163123,0.911550764101516,1.6672126287414e-05,0.000179378346513449,0,0,0.984955603889511,0.015044396110489,0.0135601638637002,0.960276684548878,0.000181608846541375,0.0015366534737807,0.0136245068516343,0.0107404663250722,7.99160903930393e-05,0.00809240274510153,0.00251997381289861,0.0177168914093022,0.0262504493431233,0.0372306779429127,0.906658037419952,0.00153156732670941,0,23.1718580110572,20.0304347826087,2.93134757595489,2.28020185183891,16162851662.1464,2852,5667199.04002329,0.215979990234889,8660117656.31319,FALSE,FALSE
"08BP",0.924959603506997,0.0750403964930033,0.624391813674317,0.375608186325683,0,1,0,0,0,0.986615094946942,0.00591692488909784,0.00746798016396039,0,0,0,0,0.705777471627722,0.294222528372278,0.656098521144022,0.00283841721491412,0,0.149966037827839,0.145036202993447,0.0460608208197781,0,0.0433939568678383,0.461314755407924,0.420250891231234,0.0164670566786191,0.0296416939988128,0.0289316458155713,0,0,1.51927457945548,2.3,0.832626197533508,1.07381342953698,25029299.12286,97,258034.011575876,0.940394676864553,13671894.1798942,FALSE,TRUE
"A7104",0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1.09861228866811,1.09861228866811,7842204.2262432,1,7842204.2262432,15.8750306316327,7842204.2262432,FALSE,TRUE
"A7253",1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18599056.0546628,2,9299528.02733139,8.36931072070624,18599056.0546628,FALSE,TRUE
"A8000",0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,3,1.38629436111989,1.38629436111989,840208.170699974,1,840208.170699974,13.641406152559,840208.170699974,TRUE,TRUE
"A8050",0.516009264908256,0.483990735091744,0.617514997575704,0.193534715364594,0.188950287059702,0.505775934204488,0.00713688579130469,0.487087180004208,0,0.50053065234861,0.00506135427605685,0.00209619558249114,0.329638943613383,0.149499120006447,0.0131737341730127,0,0.414485381396583,0.585514618603417,0.0320255641197074,0.375872846623627,1.80531597525807e-06,0.020861242891732,0.565383597296474,0.00576756594199942,8.73778104850052e-05,0.270702576002299,0.0759566046900473,0.0851313559058526,0.223899943037811,0.13227556973998,0.153229772985353,0.0588041776386575,0,3.70870850294767,6.19599109131403,1.3986524624997,1.70099272128744,2528598123.74434,4921,513838.269405475,0.118458125097161,648906626.597495,FALSE,FALSE
"A8100",0.391033115427888,0.608966884572112,0.181981350034148,0.596202634273895,0.221816015691957,0.412107644852184,0.00215480783998966,0.585737547307826,0,0.414262452692174,0,0,0.585737547307826,0,0,0,0.542273931954462,0.457726068045538,0.16421160089822,0.378062331056242,0,0.175261578766487,0.28246448927905,0,0,0.0520495333218494,0.00565270944258615,0.336091260653575,0.191100798185909,0.41510569839608,0,0,0,2.08179446430538,1.7,1.08116446095285,0.953416149104384,12693180.3066897,65,195279.697025995,1.51354401504105,7584988.0952381,FALSE,TRUE
"A8101",0.958698098580808,0.0413019014191924,0.895512695249111,0.103098326576477,0.00138897817441104,0.925819780388138,0.0630765697400981,0.0111036498717636,0,0.978287951990422,0,0,0.0111036498717636,0,0.0106083981378146,0,0.873045537399907,0.126954462600093,0.0196172123074976,0.85342832509241,0,0.000433934066747736,0.126520528533345,0,0,0.723995327089009,0.207366413956253,0.0172090909861925,-0.000129443185172399,0.0155239119291098,0.025907432675255,0.0101272665493523,0,3.46282524727659,2.70588235294118,1.4007953633967,1.23639338126426,195533328.99528,136,1437745.06614176,1.68876628030453,90892961.7755857,FALSE,FALSE
"A8102",0.627865889461874,0.372134110538126,0.196715124210269,0.726215434927794,0.0770694408619377,0.211286734245863,0.049090533003881,0.739622732750256,0,0.253077608895078,0.000765582057682252,0,0.721810390476647,0.0174104421608195,0.00693597640977265,0,0.298011436758704,0.701988563241296,0.0624931068085392,0.193236120032573,0,0.0231234003832266,0.679083310125223,0.0150949664421031,0.0269690962083348,0.0787374950246879,0.0290110028184681,0.491193178169928,0.332269841655961,0.00836964633964093,0.0318302087009077,0.0281492062642658,0.000439421026141363,1.88698041507515,5.71428571428571,0.927046960206079,1.46517379749753,1091027159.76998,1601,681466.058569631,0.280617011699148,355258991.522207,FALSE,FALSE
"A8103",0.754587846579165,0.245412153420835,0.0933459361394797,0.732059060637677,0.174595003222843,0.283467061565263,0.13361396487825,0.582918973556488,0,0.43334879189751,0,0,0.559956918139284,0.0041180993800056,0.00257619058320074,0,0.415100807865306,0.584899192134694,0.0521808332406951,0.34484852070666,0,0.0281497302501379,0.557506568482999,0.0169982328328751,0.000316114486633129,0.0885639190739397,0.0604142178006014,0.55449806345026,0.11366449107549,0.0653964215812396,0.0678076026252448,0.0483398247441155,0.00131545964910896,2.69220578738318,5.52147239263804,0.981434319587423,1.4736941991744,826425748.410072,1347,613530.62242767,0.332480812527522,268749660.924784,FALSE,FALSE
"A8104",0.689669809075585,0.310330190924415,0.0609717280228832,0.516340378114479,0.422687893862638,0.17053916126555,0.0950995315224424,0.734361307212008,0,0.306921757373243,0.00100991626335079,0.000278131770014132,0.674651017321767,0.000325920899935197,0.0168132563716899,0,0.617246638068993,0.382753361931007,0.0543222203286174,0.49604979139934,0,0.017189314949062,0.365906835430981,0.0663864032048417,0.000145434687157232,0.183544467899517,0.0315425450716997,0.44303805593227,0.106600761854853,0.00515078052091589,0.199025752636034,0.0287725923515513,0.00232504373315933,4.58844450626737,6.84831460674157,1.25125709530254,1.56568401795594,1337464500.11401,1742,767775.258389211,0.253256598203898,321440616.221688,FALSE,FALSE
"A8105",0.70800177110415,0.29199822889585,0.0992501387288205,0.874954314338212,0.0257955469329675,0.183894783249949,0.56350432166164,0.252600895088411,0,0.742257983571423,0,0,0.238740752885159,0.0120202451017429,0.00698101844167532,0,0.725887361676919,0.274112638323081,0.111535243258674,0.590002775751265,0,0.00787578096231088,0.266697044817113,0.0238891552106365,0,0.0900943905882175,0.0754616504291526,0.363133493457739,0.18158715914806,0.0570652385534933,0.0214773015348292,0.193234202364855,0.0179465639236539,1.84281911065151,5.68888888888889,0.945334305174887,1.25497398846332,464137320.166273,661,702174.463186495,0.566374600447021,175479838.036189,FALSE,FALSE
"A8106",0.321446870358056,0.678553129641944,0.0465655823765731,0.937189834369571,0.0162445832538558,0.0650812107461362,0.0114473555253621,0.923471433728502,0,0.0764835505810625,0,0,0.476683749752435,0.445780131295696,0.00105256837080552,0,0.750002061260768,0.249997938739232,0.0257948291557225,0.591979472974196,0,0.00822278763073078,0.242244218155462,0.131758692083889,0,0.0363458731420732,0.0360932367823284,0.225830259230013,0.311685003770722,0.0966782461568662,0.270509814861729,0.0225959283152722,0.000261637740996129,3.37994742947895,3.6,1.32323261162649,1.27695987357529,528802980.5444,809,653650.161365142,0.49502397173471,146964890.547893,FALSE,FALSE
"A8107",0.734201035970321,0.265798964029679,0.187177969757721,0.778036401134259,0.0347856291080203,0.219445259970084,0.106168757006227,0.674385983023689,0,0.326100584872369,0,0.00157684126025115,0.663191647897852,0.00566429842547366,0.00346662754405398,0,0.419536643209015,0.580463356790985,0.0901882664389135,0.318081840006746,0,0.0207438445192103,0.560324675771341,0.00889912590677283,0.00176224735701609,0.0657298132480264,0.076009419178634,0.573785452737492,0.130786913736468,0.110756372251402,0.0245895682503941,0.017999459217538,0.000343001380044684,1.71552328561968,3.86206896551724,0.903323551395851,1.34849699502452,1648708082.14164,2911,566371.72179376,0.175417487610694,352808834.771887,FALSE,FALSE
"A8108",0.884761003392307,0.115238996607693,0.276001818979505,0.720513156697231,0.0034850243232641,0.617151259803686,0.368249116754492,0.0145996234418218,0,0.965665264008399,0,0,0.0145996234418218,0,0.019735112549779,0,0.805691204213152,0.194308795786848,0.0331817574930422,0.666245233643611,0,0.00720533899955029,0.187103456787298,0.106264213076498,0,0.550618008110986,0.0563827850874929,0.186494372195322,0.0249421044377617,0.0412265490689846,0.0491511020393896,0.0677738496686708,0.023411229391392,3.34484012214541,6.33333333333333,1.12613602064604,1.37483895624498,787098088.631238,1245,632207.300105412,0.265667148909733,276947393.834772,FALSE,FALSE
"A8109",0.306932940555406,0.693067059444594,0.12239198663896,0.875524657179431,0.00208335618160941,0.476109235534023,0.223582322620151,0.300308441845826,0,0.701813547857033,0,0,0.273746463878864,0.00927332312430248,0.0151666651398006,0,0.83685613040777,0.163143869592231,0.0902557622536586,0.698342115840251,0,0.00922787232015689,0.156572862843458,0.0456013867424758,0,0.059382166407167,0.0723880090020472,0.175162765146192,0.236892311858721,0.441145925295079,0.0150288222907943,0,0,2.79090568459756,2.77777777777778,1.26725276782953,1.16706133025497,351013109.760647,343,1023361.83603687,1.01321372053757,84447794.081381,FALSE,FALSE
"A8110",0.961014010633026,0.0389859893669739,0.0979600718179857,0.902039928182014,0,0.103229516850148,0.0113215654004676,0.885448917749385,0,0.116459889941588,0,0,0.883540110058412,0,0,0,0.124932164975005,0.875067835024996,0.036801876432826,0.0812063107451928,0,0.0389519577561684,0.836115877268827,0.00692397779698574,0,0.00885451061376315,0.0234495255204025,0.932278702963746,0.0400026066083747,-0.0066498665184651,0.00206452081217863,0,0,1.2203853133567,3.41666666666667,0.762693587475407,1.18856347633314,82659692.8397884,131,630990.021677774,1.35955056944924,40769027.7777778,FALSE,TRUE
"A8111",0.522215961399568,0.477784038600432,0.0803755544181379,0.915437168680358,0.00418727690150432,0.345643427117846,0.318479547451559,0.335877025430594,0,0.664122974569406,0,0,0.335877025430594,0,0,0,0.440454246912806,0.559545753087194,0.112590263954622,0.304594352814981,0,0.0272567660676785,0.532288987019516,0.0232696301432032,0,0.103391852185348,0.11394955387798,0.174203591577521,0.409182939876459,0.030713393935737,0.0369080148128102,0.131650653734143,0,1.95757235313943,2.04,1.0438960945269,0.9939626599152,53510435.1836906,122,438610.12445648,1.22011236602118,21833103.1746032,FALSE,TRUE
"A8112",0.266200450191764,0.733799549808236,0.0300210773226679,0.969978922677332,0,0.0838524154480524,0.916147584551948,0,0,1,0,0,0,0,0,0,1,0,0.133716397732682,0.866283602267318,0,0,0,0,0,0,0.266200450191764,0,0,0.733799549808236,0,0,0,3.48170610683943,3.66666666666667,1.49378397248978,1.5350567286627,5924144.70798881,48,123419.681416434,1.38937213347191,5309838.62433862,FALSE,TRUE
"A8113",0.61131511640388,0.38868488359612,0.316879291312617,0.679821743278854,0.00329896540852926,0.453379658967237,0.265632929156697,0.280987411876066,0,0.709320077138566,0,0.00222714869804724,0.277932473396444,0,0.0105203007669423,0,0.968031964529367,0.031968035470633,0.115618969237011,0.806345420930613,0,0.00480426080865921,0.0271895025878435,0.0460418464358737,0,0.0386605605095757,0.362051981178771,0.176529238728351,0.0784249264121916,0.0438291434117372,0.266430813772191,0.0340733359871829,0,6.66889014436746,5.04166666666667,1.59778479789074,1.36292327951561,320822391.961897,989,324390.689546913,0.197343294774792,174664557.305812,FALSE,FALSE
"A8114",0.467045349734955,0.532954650265045,0.1089026503396,0.891097349660401,0,0.321371129736853,0.17229833854046,0.506330531722687,0,0.493669468277313,0,0,0.506330531722687,0,0,0,0.862803434218604,0.137196565781396,0.34851331370434,0.51370023260182,0,0.0263549830538257,0.111431470640014,0,0,0.0760241210867993,0.229047505466883,0.144385911514054,0.389489283508235,0.017430447548573,0.126034919208237,0.0175878116672177,0,2.52752351395851,2.42307692307692,1.17880723040816,1.09575278337345,63962191.9812396,197,324681.177569744,0.629574689684906,34827902.1164021,FALSE,TRUE
"A8117",1,0,0,0.366184935545309,0.633815064454691,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0.693147180559945,0.693147180559945,320134.43780554,2,160067.21890277,6.33824971418805,320134.43780554,TRUE,TRUE
"A8119",0.698617000070039,0.301382999929961,0.163066127886925,0.518811762671463,0.318122109441612,0.887172635242523,0.112827364757477,0,0,1,0,0,0,0,0,0,0.251618277229318,0.748381722770682,0.156441832128761,0.095176445100557,0,0.307550988664996,0.440830734105686,0,0,0,0.364587766888816,0.334029233181223,0.112827364757477,0,0.188555635172484,0,0,3.25478317272839,3.66666666666667,1.21147183876502,1.32966134885476,582099.030317662,7,83157.0043310945,3.50337247364158,491034.391534392,TRUE,TRUE
"A8120",0.958135944469786,0.0418640555302135,0.302707869644302,0.697292130355698,0,0.988737387691516,0.00991013179216683,0.00135248051631754,0,0.0992861542156983,0,0,0.00135248051631754,0,0.899361365267984,0,0.935264213114277,0.0647357868857234,0.0504974209737398,0.875205629007614,0,0.000716765996435029,0.0640190208892883,0.00956116313292296,0,0.000626636830340778,0.594532797838812,0,0.00316362774147054,0,0.038700427788743,0.362976509800634,0,6.73082025379191,8.4,2.01260455865534,1.91499669711282,168597073.867866,180,936650.410377032,0.725838505622931,102225961.434003,FALSE,FALSE
"A8122",0.491137272473372,0.508862727526628,0.0798348757139305,0.879721218151776,0.0404439061342937,0.117133321192216,0.525277470249984,0.357589208557801,0,0.642410791442199,0,0,0.135732973313921,0.220557645750109,0.00129858949377071,0,0.895954204684865,0.104045795315135,0.0600934713245309,0.66115166724296,0,0.00291264350363914,0.101071035873233,0.174771182055638,0,0.0690283447005894,0.106203179849253,0.257960382993253,0.212065212067333,0.100660976570974,0.214232374267002,0.0398495295515947,0,3.32128900229331,6.96666666666667,1.27242135351047,1.45635212947793,284726993.766834,545,522434.85094832,0.329523045923121,143031379.684954,FALSE,FALSE
"A8123",0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1.09861228866811,1.09861228866811,219475.828354155,1,219475.828354155,12.2990019403402,219475.828354155,TRUE,TRUE
"A8124",0.13388520233769,0.866114797662309,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.13388520233769,0.0792465728780628,0.786868224784247,0,0,0,3.36493772841055,2.5,1.42956249374423,1.19687293569551,1113414.02116402,23,48409.3052680009,1.16108306498257,1113414.02116402,TRUE,TRUE
"A8125",0.71801000621588,0.28198999378412,0,1,0,0.731437152045835,0.268562847954165,0,0,1,0,0,0,0,0,0,1,0,0.162070214437571,0.837929785562429,0,0,0,0,0,0,0,0.731437152045835,0,0.28198999378412,0,-0.0134271458299551,0,1.57400822325629,2.66666666666667,0.889923178339307,1.22962648470465,9345784.39153439,23,406338.451805843,2.45597007174839,9345784.39153439,FALSE,TRUE
"A8300",0.37904515411601,0.62095484588399,0.352116229377858,0.55623510755682,0.0916486630653218,0.810605386298994,0.0363155260508503,0.153079087650156,0,0.788458963160731,0.00310922142078984,0,0.132332248808529,0,0.0760995666099502,0,0.464282914390713,0.535717085609287,0.013122477755929,0.190865904428066,0,0.0275513007234891,0.508411380527373,0.260048936565143,0,0.0862907547981676,0.14179219871809,0.11898294711833,0.215185437320872,0.121675286968965,0.295817745272852,0.0202556298027251,0,4.68204739712225,5.09952606635071,1.54366390755861,1.56502096893814,799782180.150898,789,1013665.62756768,0.554892856935403,346654455.45899,FALSE,FALSE
"A8301",0.286592477909466,0.713407522090534,0.131419509689003,0.589870547617168,0.278709942693829,0.559946341668491,0.0622596185765023,0.377794039755006,0,0.630085958655076,0,0.00556309502900923,0.349706605563786,0.0143108160911501,0.000333524660978355,0,0.555459631834168,0.444540368165832,0.0587937593117235,0.424252059251818,0,0.0523662949193951,0.395156688999495,0.0694311975175677,0,0.0610625500311136,0.0614418758741013,0.154836319509048,0.317183318608553,0.0836506856090312,0.257093124760253,0.0647321256079003,0,4.43245003725533,5.68224299065421,1.42076775614622,1.47946115096469,813613068.632705,1995,407826.099565266,0.22697084148336,223371522.811344,FALSE,FALSE
"A8302",0.265934109195427,0.734065890804573,0.512636357213663,0.23069200081866,0.256671641967677,0.61068376341481,0.0319041260283179,0.357412110556872,0,0.505077248164159,0,0,0.15878034416865,0.223230369230981,0.11291203843621,0,0.507589792307512,0.492410207692488,0.0144476569264147,0.135899326117073,0,0.00116729920173695,0.494611862897664,0.34539866009003,0.00847519476708014,0.0872041276570022,0.0366913893210899,0.105182292534941,0.451749168038522,0.194940750515072,0.0826818148558561,0.00893870495316381,0.0326117521243533,2.98508689933992,3.61818181818182,1.26691827409059,1.36189988938833,2152129443.71516,689,3123555.07070416,0.739045124936107,715354997.284085,FALSE,FALSE
